True value,No.,Si,Ti,Al,Cr,Fe,Ca,Mg,Mn,Na,H2O (ppm)*
,229,1.962,0.004,0.105,0.007,0.259,0.814,0.81,0.006,0.024,93
,230,1.974,0.006,0.078,0.015,0.243,0.788,0.848,0.007,0.026,112
,231,1.961,0.005,0.101,0.013,0.203,0.798,0.88,0.005,0.023,124
,232,1.957,0.009,0.097,0.007,0.252,0.822,0.816,0.007,0.027,127
,233,1.975,0.004,0.077,0.014,0.167,0.828,0.893,0.004,0.024,130
,234,1.951,0.009,0.134,0.003,0.211,0.822,0.823,0.004,0.025,162
,235,1.982,0.008,0.072,0.014,0.191,0.796,0.887,0.006,0.023,87
,236,1.98,0.007,0.093,0.011,0.183,0.822,0.85,0.003,0.027,135
,237,1.977,0.007,0.081,0.012,0.259,0.805,0.81,0.007,0.023,106
,238,1.908,0.012,0.106,0.019,0.164,0.846,0.946,0.005,0.024,321
,239,1.931,0.011,0.094,0.023,0.144,0.829,0.947,0.005,0.028,379
,240,1.954,0.007,0.057,0.015,0.134,0.82,0.995,0.008,0.025,123
,241,1.919,0.012,0.101,0.019,0.152,0.834,0.95,0.006,0.022,310
,242,1.957,0.007,0.059,0.015,0.135,0.839,0.974,0.002,0.016,379
,243,1.953,0.007,0.059,0.014,0.15,0.825,0.982,0.004,0.02,275
,244,1.913,0.009,0.143,0.034,0.132,0.758,0.973,0.005,0.045,325
,245,1.852,0.023,0.213,0.008,0.198,0.826,0.871,0.007,0.031,574
,246,1.963,0.006,0.047,0.021,0.137,0.776,1.028,0.003,0.034,345
,247,1.941,0.006,0.104,0.014,0.152,0.767,0.989,0.003,0.035,328
,248,1.91,0.031,0.138,0.014,0.133,0.871,0.886,0.002,0.026,91
,249,1.872,0.041,0.178,0.021,0.153,0.867,0.859,0.003,0.029,120
,250,1.868,0.046,0.191,0.015,0.165,0.861,0.842,0.003,0.028,170
,251,1.889,0.035,0.158,0.019,0.146,0.854,0.886,0.003,0.029,124
,252,1.932,0.018,0.108,0.027,0.117,0.864,0.912,0.002,0.027,93
,253,1.926,0.024,0.119,0.018,0.128,0.866,0.896,0.003,0.026,154
,254,1.91,0.031,0.138,0.014,0.133,0.871,0.886,0.002,0.026,157
,255,1.872,0.041,0.178,0.021,0.153,0.867,0.859,0.003,0.029,182
,256,1.89,0.031,0.169,0.031,0.138,0.85,0.866,0.003,0.032,141
,257,1.877,0.053,0.168,0,0.208,0.935,0.725,0.004,0.03,615
